support,itemsets,length
0.025308641975308643,SET OF 6 SPICE TINS SKETCHBOOK,1
0.024074074074074074,TAPE DISPENSER,1
0.024074074074074074,CHRISTMAS CANDLE SET,1
0.02345679012345679,CUP AND SAUCER SET,1
0.02345679012345679,SET/6 RED SPOTTY PAPER PLATES,1
0.022839506172839506,COFFEE MUG PEARS DESIGN,1
0.022839506172839506,COFFEE MUG GREEN POLKA DOT,1
0.022839506172839506,WOODEN FRAME ANTIQUE WHITE,1
0.021604938271604937,BOX OF 6 ASSORTED ALPHABET BLOCKS,1
0.020987654320987655,CHARGER,1
0.020987654320987655,BLUETOOTH SPEAKER,1
0.020987654320987655,COLOURING PENCILS BROWN TUBE,1
0.020987654320987655,PACK OF 72 RED SPOT CAKE CASES,1
0.020987654320987655,LUNCH BAG SUKI DESIGN,1
0.020987654320987655,LUNCH BAG PINK POLKA DOT,1
0.020370370370370372,CHRISTMAS TABLE CLOTH,1
0.020370370370370372,SET OF 4 KNICK KNACK TINS,1
0.020370370370370372,PLASTERS IN TIN WOODLAND ANIMALS,1
0.020370370370370372,PRINTER PAPER,1
0.020370370370370372,OFFICE CHAIR,1
0.020370370370370372,VACUUM CLEANER,1
0.020370370370370372,WINE GLASS SET,1
0.020370370370370372,WOODEN FRAME BLACK,1
0.020370370370370372,SET/6 RED SPOTTY PAPER CUPS,1
0.020370370370370372,CHRISTMAS TABLE RUNNER,1
0.020370370370370372,CRAFT KIT,1
0.020370370370370372,DUVET COVER,1
0.020370370370370372,TRAVEL BAG,1
0.020370370370370372,SCISSORS,1
0.019753086419753086,SET 7 BABUSHKA NESTING BOXES,1
0.019753086419753086,COFFEE MUG BLUE POLKA DOT,1
0.019753086419753086,SET OF 6 HERB TINS,1
0.019753086419753086,SEWING KIT,1
0.019753086419753086,TEA SET,1
0.019135802469135803,BOWL SET,1
0.019135802469135803,HAIR STRAIGHTENER,1
0.019135802469135803,HAND WARMER UNION JACK,1
0.019135802469135803,KETTLE,1
0.019135802469135803,TABLE LAMP,1
0.019135802469135803,WOODEN FRAME PAINTED GREEN,1
0.019135802469135803,THROW BLANKET,1
0.019135802469135803,PLASTERS IN TIN BLUE SPOTS,1
0.019135802469135803,SET OF 12 HEART SHAPED DOILIES,1
0.019135802469135803,COFFEE MUG APPLES DESIGN,1
0.019135802469135803,CUSHION SET,1
0.019135802469135803,CHRISTMAS GARLAND,1
0.019135802469135803,BOX OF 6 ASSORTED SPACEBOY DESIGNS,1
0.018518518518518517,JAM MAKING SET RED,1
0.018518518518518517,KNITTED BLUE HOTTIE WHITE HEART,1
0.018518518518518517,LUNCH BAG RED RETROSPOT,1
0.018518518518518517,COFFEE MUG PINK POLKA DOT,1
0.018518518518518517,CHRISTMAS LIGHTS ICICLE,1
0.018518518518518517,CHRISTMAS CRAFT KIT,1
0.018518518518518517,BATHROOM TOWEL SET,1
0.018518518518518517,DESK MAT,1
0.018518518518518517,GLUE STICK,1
0.018518518518518517,HAND TOWEL SET,1
0.018518518518518517,WOODEN FRAME PAINTED PINK,1
0.018518518518518517,WOODEN FRAME PAINTED BLUE,1
0.018518518518518517,METAL HOOK RACK 5 HOOKS BLACK,1
0.018518518518518517,LUNCH BAG BLACK SKULL,1
0.017901234567901235,CHRISTMAS TREE DECORATION,1
0.017901234567901235,COFFEE MUG ORANGE DESIGN,1
0.017901234567901235,CHRISTMAS LIGHTS SNOWFLAKE,1
0.017901234567901235,DINNER PLATE SET,1
0.017901234567901235,SIDE PLATE SET,1
0.017901234567901235,WOODEN FRAME PAINTED WHITE,1
0.017901234567901235,SET OF 6 SPICE TINS PANTRY DESIGN,1
0.017901234567901235,SEWING MACHINE,1
0.017901234567901235,PLASTERS IN TIN SPACEBOY,1
0.017901234567901235,SET OF 12 ROUND PAPER DOILIES,1
0.017901234567901235,WHITE HANGING HEART T-LIGHT HOLDER,1
0.017901234567901235,TRAVEL BLANKET,1
0.017901234567901235,LAPTOP STAND,1
